,Nivel,Area,DESCRIPCIÓN PROGRAMA,TIPO DE PROMO,Antigüedad,Duracion,INICIOS,Lanzamiento,VA EJECUTIVAS?,VA HIBRIDAS?,VA UTEL JOVEN?,CLAVE PROGRAMA MX
78,Maestria,Ingeniería y Tecnología,MAESTRÍA EN ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMAEEFED
79,Maestria,Ciencias Sociales y Humanidades,MAESTRÍA EN RESPONSABILIDAD SOCIAL,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMARSFED
80,Maestria,Gobierno y Política Pública,MAESTRÍA EN MERCADOTECNIA POLÍTICA,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMAKPFED
81,Maestria,"Negocios, Innovación y Liderazgo",MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS - MBA INTERNACIONAL,Pricing medio,Antiguos,,Mensual,,SI,SI,,#N/A
82,Maestria,Ciencias Sociales y Humanidades,MAESTRÍA EN DERECHO PROCESAL CONSTITUCIONAL (MODALIDAD EJECUTIVA),Pricing medio,Antiguos,,Mensual,,SI,SI,,0
83,Doctorado,Ciencias Sociales y Humanidades,DOCTORADO EN DESARROLLO HUMANO,UNAG,Antiguos,,Mensual,,,,,UNADODUESG
84,Doctorado,Ciencias Sociales y Humanidades,DOCTORADO EN DERECHO,PRICING BAJO,Antiguos,,Mensual,,,,,UTLDODDFED
85,Doctorado,Ingeniería y Tecnología,DOCTORADO EN GESTIÓN E INNOVACIÓN TECNOLÓGICA,PRICING MEDIO,Antiguos,,Mensual,,,,,UTLDOGIFED
86,Doctorado,Económico-Administrativas,DOCTORADO EN ADMINISTRACIÓN ESTRATÉGICA EMPRESARIAL,PRICING MEDIO,Antiguos,,Mensual,,,,,UTLDOAEFED
87,Licenciatura,Ingeniería y Soluciones,Licenciatura en Ingeniería Ambiental,PRICING ALTO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBHFED
