,,,,,,4,,,,,,,,,,,,,
Pais,Nivel,Jornada,Zona,TIPO DE PROMO,ANTIGÜEDAD LEAD,1er pago,2do pago,3er pago,4to pago,5to pago,Nombre paquete,Nombre escalonado,Posicionamiento,Precio de lista,Nombre paquete ejecutivo,Nombre escalonado ejecutivo,Nombre paquete Hibrido,Nombre escalonado Hibrido,Nombre escalonado con titulo
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,Hotlead,171900,171900,171900,171900,171900,ARG3.SEMESTRAL.5%.HOTL.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,Hotlead,182800,182800,182800,182800,182800,ARG3.SEMESTRAL.5%.HOTL.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,Hotlead,197900,197900,197900,197900,197900,ARG3.SEMESTRAL.5%.HOTL.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,RMKT,146400,146400,146400,146400,146400,ARG3.SEMESTRAL.5%.RMKT.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,RMKT,157300,157300,157300,157300,157300,ARG3.SEMESTRAL.5%.RMKT.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,RMKT,172500,172500,172500,172500,172500,ARG3.SEMESTRAL.5%.RMKT.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,SUPER PROMO,156200,156200,156200,156200,156200,ARG3.SEMESTRAL.5%.SUPE.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,SUPER PROMO,167100,167100,167100,167100,167100,ARG3.SEMESTRAL.5%.SUPE.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,SUPER PROMO,182400,182400,182400,182400,182400,ARG3.SEMESTRAL.5%.SUPE.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,Hotlead,163700,163700,163700,163700,163700,ARG3.SEMESTRAL.10%.HOTL.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,Hotlead,174600,174600,174600,174600,174600,ARG3.SEMESTRAL.10%.HOTL.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,Hotlead,188900,188900,188900,188900,188900,ARG3.SEMESTRAL.10%.HOTL.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,RMKT,139300,139300,139300,139300,139300,ARG3.SEMESTRAL.10%.RMKT.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,RMKT,150200,150200,150200,150200,150200,ARG3.SEMESTRAL.10%.RMKT.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,RMKT,164600,164600,164600,164600,164600,ARG3.SEMESTRAL.10%.RMKT.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,SUPER PROMO,148800,148800,148800,148800,148800,ARG3.SEMESTRAL.10%.SUPE.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,SUPER PROMO,159700,159700,159700,159700,159700,ARG3.SEMESTRAL.10%.SUPE.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,SUPER PROMO,174200,174200,174200,174200,174200,ARG3.SEMESTRAL.10%.SUPE.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,Hotlead,121500,237400,237400,237400,237400,ARG3.HOTL.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,Hotlead,132400,248300,248300,248300,248300,ARG3.HOTL.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,Hotlead,143000,269600,269600,269600,269600,ARG3.HOTL.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,RMKT,105700,205900,205900,205900,205900,ARG3.RMKT2.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,RMKT,116600,216800,216800,216800,216800,ARG3.RMKT2.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,RMKT,127200,237900,237900,237900,237900,ARG3.RMKT.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,SUPER PROMO,111000,216400,216400,216400,216400,ARG3.SUPE.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,SUPER PROMO,121900,227300,227300,227300,227300,ARG3.SUPE.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Pricing Buenos Aires / Fijo,SUPER PROMO,132500,237600,237600,237600,237600,ARG3.SUPE.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,Hotlead,115700,225900,225900,225900,225900,ARG3.5%.HOTL.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,Hotlead,126600,236800,236800,236800,236800,ARG3.5%.HOTL.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,Hotlead,136700,256900,256900,256900,256900,ARG3.5%.HOTL.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,RMKT,100700,195900,195900,195900,195900,ARG3.5%.RMKT.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,RMKT,111600,206800,206800,206800,206800,ARG3.5%.RMKT.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,RMKT,121700,226900,226900,226900,226900,ARG3.5%.RMKT.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,SUPER PROMO,105700,205800,205800,205800,205800,ARG3.5%.SUPE.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,SUPER PROMO,116600,216700,216700,216700,216700,ARG3.5%.SUPE.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,SUPER PROMO,126700,237000,237000,237000,237000,ARG3.5%.SUPE.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
